Bigram,Frequency
"('🥇', '🏅')",1571
"('paris2024', 'olympics')",1403
"('arshad', 'nadeem')",1401
"('letsile', 'tebogo')",1005
"('👥', 'usa')",909
"('olympics', 'paris2024')",816
"('🌎', '📈')",715
"('🏆', '🥇')",705
"('paris2024', 'basketball')",686
"('olympics', 'olympics2024')",652
"('neeraj', 'chopra')",635
"('nbc', 'peacock')",631
"('olympic', '👑')",615
"('olympic', '📈')",589
"('olympic', '🥇')",577
"('men', 'javelin')",573
"('olympics2024', 'paris2024')",538
"('parisolympics', 'nbc')",511
"('javelin', 'throw')",509
"('usabmnt', 'paris2024')",502
"('paris', 'olympics')",489
"('paris2024', 'olympicgames')",474
"('silver', '🏅')",472
"('tara', 'daviswoodhall')",457
"('noah', 'lyles')",448
"('usa', 'network')",446
"('long', 'jump')",441
"('network', 'peacock')",439
"('bronze', '🏅')",431
"('final', 'parisolympics')",395
"('first', 'olympic')",385
"('🏅', 'parisolympics')",355
"('sydney', 'mclaughlinlevrone')",342
"('rizki', 'juniansyah')",341
"('paris2024', 'olympics2024')",314
"('🏅', 'olympics')",300
"('🥇', 'paris2024')",295
"('olympic', '🏅')",292
"('🥇', 'medalist')",287
"('🥇', 'parisolympics')",280
"('olympics', '🥇')",277
"('parisolympics', 'usa')",272
"('hockey', '👥')",271
"('neerajchopra', 'olympics2024')",266
"('paris2024', 'parisolympics')",263
"('winning', 'silver')",256
"('quincy', 'hall')",253
"('olympic', '🎮')",243
"('united', 'state')",241
"('first', 'ever')",237
"('peacock', 'parisolympics')",228
"('nation', 'proud')",224
"('indian', 'hockey')",222
"('winning', '🥇')",221
"('woman', 'hurdle')",220
"('shacarri', 'richardson')",218
"('simone', 'bile')",217
"('🏅', '🎮')",213
"('made', 'history')",207
"('samsung', 'togetherfortomorrow')",207
"('pakistan', 'arshad')",201
"('osmar', 'olvera')",198
"('x', 'basketball')",194
"('parisolympics2024', 'olympics2024')",193
"('olympic', 'silver')",193
"('olympicgames', 'paris2024')",193
"('usa', 'woman')",189
"('african', '📈')",187
"('many', 'congratulation')",184
"('men', 'final')",183
"('🏅', 'paris2024')",182
"('olympicgames', 'olympics')",181
"('golden', 'boy')",181
"('men', 'relay')",179
"('congratulation', 'arshad')",178
"('olympic', 'champ')",178
"('📈', 'men')",177
"('first', 'time')",176
"('arshadnadeem', 'javelinthrow')",175
"('gabby', 'thomas')",175
"('parisolympics', 'parisolympics2024')",173
"('silver', 'medalist')",170
"('le', 'jeux')",169
"('paris', 'parisolympics')",167
"('paris2024', 'closertoyourchampions')",167
"('📈', 'paris2024')",166
"('🏆', 'olympic')",166
"('area', '📈')",165
"('vinesh', 'phogat')",165
"('anna', 'cockrell')",164
"('parisolympics2024', 'parisolympics')",163
"('hurdle', '🥇')",162
"('olympicgames', 'olympics2024')",162
"('hard', 'work')",162
"('champ', 'letsile')",161
"('youve', 'made')",161
"('track', 'field')",160
"('country', 'india')",159
"('artistic', 'swimming')",159
"('pride', 'country')",159
"('🌎', 'athlete')",159
"('matter', 'great')",159
"('nominated', '🌎')",159
"('great', 'pride')",159
"('parisolympics', 'olympics2024')",158
"('woman', 'long')",158
"('neerajchopra', 'javelinthrow')",157
"('🥇', 'olympic')",156
"('congratulation', '🥇')",156
"('🥇', 'neerajchopra')",156
"('canal', 'et')",155
"('weightlifting', 'paris2024')",151
"('paris2024', 'parisolympics2024')",151
"('whole', 'nation')",150
"('paris2024', 'omega')",150
"('omega', 'omegaofficialtimekeeper')",150
"('sur', 'eurosport')",150
"('daviswoodhall', 'olympic')",149
"('paris2024', 'samsung')",149
"('athlete', 'year')",149
"('year', 'matter')",147
"('olympics', 'nominated')",147
"('🥇', 'men')",146
"('olympic', 'history')",146
"('olympic', 'final')",145
"('proud', 'arshadnadeem')",143
"('🥇', 'pakistan')",143
"('max', 'canal')",142
"('arshadnadeem', 'olympics2024')",142
"('final', 'paris2024')",141
"('jeux', 'olympiques')",141
"('pakistan', 'arshadnadeem')",139
"('best', 'time')",137
"('🥇', 'indonesia')",137
"('well', 'done')",136
"('olympics', '📈')",136
"('paris2024', 'x')",136
"('hurdle', '🌎')",135
"('incredible', 'achievement')",135
"('paris2024', 'paris2024')",135
"('pour', 'paris2024')",134
"('iwfnet', 'weightlifting')",132
"('olympics2024', 'olympicgames')",131
"('olympicrecord', 'rizki')",131
"('year', 'old')",131
"('throw', 'olympics')",130
"('pour', 'le')",130
"('botswana', '🏆')",130
"('nadeem', 'made')",130
"('🏅', 'olympic')",128
"('first', 'african')",127
"('javelinthrow', '🥇')",126
"('paris2024', 'weightlifting')",125
"('paris2024', 'cest')",125
"('first', 'silver')",125
"('benjamin', 'thomas')",123
"('clean', 'jerk')",122
"('woman', 'boxing')",122
"('vineshphogat', 'olympics2024')",122
"('x', 'parisolympics')",121
"('dedication', 'hard')",121
"('quincy', 'wilson')",120
"('bawapulangmedali', 'olympics')",120
"('personal', 'best')",120
"('olympics2024', 'olympics')",120
"('📈', 'throw')",120
"('play', '🥇')",119
"('olympic', 'long')",119
"('eurosport', 'max')",119
"('olympics', 'olympicgames')",117
"('olympics', 'athletics')",117
"('olympics2024', 'paris')",117
"('made', 'whole')",116
"('autres', 'partenaires')",116
"('et', 'autres')",116
"('🥇', 'olympicrecord')",116
"('olympicrecord', 'arshad')",116
"('comeback', '🏆')",115
"('olympic', 'bronze')",115
"('sport', 'climbing')",115
"('untuk', 'indonesia')",114
"('👑', 'parisolympics')",114
"('veddriq', 'leonardo')",113
"('bbcolympics', 'olympics')",113
"('grant', 'holloway')",112
"('🏅', 'pakistan')",111
"('olympics', 'parisolympics')",110
"('paris2024', 'neerajchopra')",110
"('nbcolympics', 'peacock')",110
"('india', 'many')",109
"('pakistan', 'first')",109
"('first', 'woman')",108
"('new', 'african')",108
"('olympics2024', 'parisolympics')",108
"('cockrell', 'silver')",108
"('🥇', 'medalneerajchoprawinsgoldolympics2024')",107
"('neeraj', 'chopras')",107
"('time', 'parisolympics')",106
"('meraih', 'emas')",106
"('balance', 'beam')",106
"('power', '🥇')",106
"('many', 'many')",106
"('📈', '🏆')",105
"('🥇', 'area')",105
"('tebogo', 'power')",105
"('silver', 'men')",104
"('olympic', 'title')",102
"('👑', 'olympique')",102
"('olympics2024', 'neerajchopra')",101
"('👑', 'paris2024')",101
"('national', 'anthem')",101
"('paris', 'paris2024')",101
"('tracktown24', 'x')",101
"('kung', 'fu')",100
"('fu', 'kenny')",100
"('hurdle', 'final')",100
"('stephen', 'curry')",100
"('usa', 'comeback')",100
"('olympic', 'medalist')",99
"('flag', 'bearer')",99
"('daviswoodhall', 'parisolympics')",99
"('entire', 'nation')",99
"('steph', 'curry')",98
"('stream', 'paris2024')",98
"('paris2024', 'live')",98
"('hockey', 'paris2024')",98
"('new', 'olympic')",97
"('chopra', '🥇')",97
"('🎮', 'parisolympics')",97
"('nadeem', 'shatters')",97
"('shatters', 'olympic')",97
"('🌎', 'stage')",97
"('make', 'sure')",97
"('history', 'made')",97
"('woman', 'final')",96
"('jump', '🥇')",96
"('relay', 'final')",96
"('medalneerajchoprawinsgoldolympics2024', '🥇')",95
"('usa', 'parisolympics')",95
"('jump', 'tara')",95
"('parisolympics', 'slimeyinparis')",95
"('brings', 'home')",94
"('chopra', '🏆')",94
"('speed', 'climbing')",93
"('nbc', 'usa')",93
"('nadeem', 'neeraj')",93
"('la', 'dor')",92
"('provides', 'update')",92
"('olympicgames', 'parisolympics')",92
"('anderson', 'peter')",92
"('throw', 'final')",92
"('time', 'second')",92
"('michael', 'jackson')",91
"('usa', 'flag')",91
"('pride', 'pakistan')",90
"('africa', 'paris2024')",90
"('gon', 'na')",90
"('usa', 'advance')",90
